Name,Price,Rate,Url
Xiaomi 14 (Jade Green 512 GB),69999,4.6,https://www.flipkart.com/xiaomi-14-jade-green-512-gb/p/itm617acb7cd715d?pid=MOBGYGCMYEJTGEPF&lid=LSTMOBGYGCMYEJTGEPFUFDBXT&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBGYGCMYEJTGEPF.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
REDMI Note 11 Pro (Phantom White 128 GB),16951,4.1,https://www.flipkart.com/redmi-note-11-pro-phantom-white-128-gb/p/itme7022ee103b26?pid=MOBGHDXFUUKAHQR3&lid=LSTMOBGHDXFUUKAHQR38X0ALF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBGHDXFUUKAHQR3.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Xiaomi 14 CIVI (Shadow Black 256 GB),42999,4.3,https://www.flipkart.com/xiaomi-14-civi-shadow-black-256-gb/p/itmdf7287cef4f11?pid=MOBHFGU7EJXG5M4M&lid=LSTMOBHFGU7EJXG5M4MD7JVA7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBHFGU7EJXG5M4M.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
REDMI Note 11 Pro (Stealth Black 128 GB),17520,4.2,https://www.flipkart.com/redmi-note-11-pro-stealth-black-128-gb/p/itm22dabad45827d?pid=MOBGHDXJW5UQFMTZ&lid=LSTMOBGHDXJW5UQFMTZGHIONM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_15&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBGHDXJW5UQFMTZ.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Xiaomi 11i 5G (Purple Mist 128 GB),26999,4.2,https://www.flipkart.com/xiaomi-11i-5g-purple-mist-128-gb/p/itmb0fd5926fb0d5?pid=MOBG9QXPXZTUYDY8&lid=LSTMOBG9QXPXZTUYDY81BBAEL&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBG9QXPXZTUYDY8.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Mi 11 Lite (Jazz Blue 128 GB),21999,4.2,https://www.flipkart.com/mi-11-lite-jazz-blue-128-gb/p/itme2c379bf49448?pid=MOBG3VSKEVZ3JQVM&lid=LSTMOBG3VSKEVZ3JQVMGRJ2SX&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBG3VSKEVZ3JQVM.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Xiaomi 11i Hypercharge 5G (Camo Green 128 GB),26999,4.2,https://www.flipkart.com/xiaomi-11i-hypercharge-5g-camo-green-128-gb/p/itm1b9143305bed6?pid=MOBG9QWV95YG7AKC&lid=LSTMOBG9QWV95YG7AKCLIIHLU&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBG9QWV95YG7AKC.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Mi A2 (Gold 64 GB),10999,4.2,https://www.flipkart.com/mi-a2-gold-64-gb/p/itmfghsggejqrygr?pid=MOBF95FK8R3ZZZDW&lid=LSTMOBF95FK8R3ZZZDWSVR3NA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBF95FK8R3ZZZDW.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Redmi Note 7 (Sapphire Blue 32 GB),8903,4.4,https://www.flipkart.com/redmi-note-7-sapphire-blue-32-gb/p/itmfdzvfcuthuhvk?pid=MOBFDXZ3TVHJFD8E&lid=LSTMOBFDXZ3TVHJFD8EMBCWA1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBFDXZ3TVHJFD8E.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Xiaomi 11i 5G (Purple Mist 128 GB),24999,4.2,https://www.flipkart.com/xiaomi-11i-5g-purple-mist-128-gb/p/itm72ac9a61a08a1?pid=MOBG9QXPSQHXHX6S&lid=LSTMOBG9QXPSQHXHX6SHKWAU0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBG9QXPSQHXHX6S.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Mi 10T (Cosmic Black 128 GB),35999,4.2,https://www.flipkart.com/mi-10t-cosmic-black-128-gb/p/itm58cc0f1ad2682?pid=MOBFWAFZPGHZSHA7&lid=LSTMOBFWAFZPGHZSHA7IVUTXJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBFWAFZPGHZSHA7.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
Xiaomi 11i Hypercharge 5G (Stealth Black 128 GB),26999,4.2,https://www.flipkart.com/xiaomi-11i-hypercharge-5g-stealth-black-128-gb/p/itmd19127afbbce1?pid=MOBG9QWVZFNZDNMM&lid=LSTMOBG9QWVZFNZDNMMGF5UXW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBG9QWVZFNZDNMM.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
12 (Silver 128 GB),11399,4,https://www.flipkart.com/12-silver-128-gb/p/itm52eeb140d6985?pid=MOBGSEMZ6NMHGGCF&lid=LSTMOBGSEMZ6NMHGGCFU5ZQ11&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=36b1c92f-f180-476e-84ad-a3a311396c56.MOBGSEMZ6NMHGGCF.SEARCH&ppt=None&ppn=None&ssid=pxtxu1x2io0000001719251405746
